506
506 1280
      col_name  feature_importance_vals
478        479                 1.380609
701        702                 1.380542
107        108                 1.374377
523        524                 1.373705
1007      1008                 1.372966
1086      1087                 1.372496
308        309                 1.371933
869        870                 1.371245
553        554                 1.370880
908        909                 1.369796
1128      1129                 1.369338
1009      1010                 1.367547
646        647                 1.363591
583        584                 1.363171
197        198                 1.362463
1051      1052                 1.360310
846        847                 1.360239
252        253                 1.360036
1210      1211                 1.357463
694        695                 1.356896
501        502                 1.356416
422        423                 1.356209
421        422                 1.355398
859        860                 1.355374
1258      1259                 1.354339
58          59                 1.352794
636        637                 1.352723
1101      1102                 1.352249
989        990                 1.351177
883        884                 1.349510
476        477                 1.347296
590        591                 1.347230
5            6                 1.346721
222        223                 1.345139
707        708                 1.339948
1053      1054                 1.339403
539        540                 1.338485
131        132                 1.338327
493        494                 1.336267
1038      1039                 1.336072
1117      1118                 1.334845
1067      1068                 1.334670
1159      1160                 1.331560
207        208                 1.330455
647        648                 1.328803
612        613                 1.328588
927        928                 1.324771
474        475                 1.324319
386        387                 1.322895
595        596                 1.321979
1030      1031                 1.319777
1261      1262                 1.319420
607        608                 1.316189
939        940                 1.314444
905        906                 1.313243
1278      1279                 1.311859
442        443                 1.309929
1174      1175                 1.307821
363        364                 1.307453
519        520                 1.307299
597        598                 1.306101
398        399                 1.305173
1255      1256                 1.302814
200        201                 1.302064
1250      1251                 1.301168
167        168                 1.299038
968        969                 1.292179
1109      1110                 1.291215
1256      1257                 1.291116
993        994                 1.288445
416        417                 1.283047
1269      1270                 1.280603
1126      1127                 1.278826
469        470                 1.276412
1015      1016                 1.275251
247        248                 1.275040
1095      1096                 1.274802
119        120                 1.274372
1042      1043                 1.273505
1148      1149                 1.273159
1206      1207                 1.273006
318        319                 1.269016
840        841                 1.267028
346        347                 1.265949
567        568                 1.265925
906        907                 1.264788
668        669                 1.263463
838        839                 1.262205
1186      1187                 1.262204
990        991                 1.262063
861        862                 1.261684
700        701                 1.259924
1216      1217                 1.257562
229        230                 1.255759
1104      1105                 1.254712
866        867                 1.254059
909        910                 1.253860
958        959                 1.253746
891        892                 1.250355
1273      1274                 1.249302
796        797                 1.248419
169        170                 1.248001
918        919                 1.247997
33          34                 1.246567
99         100                 1.244531
1172      1173                 1.244440
922        923                 1.241892
803        804                 1.236997
435        436                 1.235635
206        207                 1.235101
381        382                 1.234456
1164      1165                 1.234112
109        110                 1.234034
920        921                 1.233929
957        958                 1.233378
276        277                 1.233275
671        672                 1.232733
1199      1200                 1.231859
522        523                 1.229539
657        658                 1.227621
388        389                 1.225814
561        562                 1.225591
882        883                 1.224297
947        948                 1.224087
1078      1079                 1.223481
533        534                 1.222490
156        157                 1.221371
357        358                 1.220901
904        905                 1.220284
54          55                 1.219687
194        195                 1.219355
294        295                 1.218312
802        803                 1.217213
1024      1025                 1.217132
1001      1002                 1.216789
637        638                 1.213830
871        872                 1.212938
620        621                 1.212833
758        759                 1.210245
432        433                 1.207554
1077      1078                 1.207443
319        320                 1.206219
67          68                 1.206124
1129      1130                 1.206118
614        615                 1.203972
468        469                 1.201562
708        709                 1.201345
1055      1056                 1.200753
1061      1062                 1.200614
218        219                 1.200564
124        125                 1.200404
543        544                 1.199378
602        603                 1.199351
548        549                 1.198419
297        298                 1.197988
946        947                 1.196900
393        394                 1.196222
418        419                 1.195117
122        123                 1.195005
1012      1013                 1.193399
437        438                 1.192720
249        250                 1.192020
338        339                 1.191547
1196      1197                 1.188211
887        888                 1.187163
454        455                 1.186946
600        601                 1.186638
149        150                 1.183099
1123      1124                 1.182789
1171      1172                 1.182329
864        865                 1.182301
254        255                 1.182243
43          44                 1.181792
641        642                 1.181545
995        996                 1.181383
1245      1246                 1.180543
1277      1278                 1.177946
525        526                 1.176305
981        982                 1.176254
885        886                 1.176184
628        629                 1.175185
477        478                 1.175048
772        773                 1.174216
1212      1213                 1.173884
728        729                 1.172997
1080      1081                 1.172269
1231      1232                 1.169155
173        174                 1.168429
1014      1015                 1.167419
312        313                 1.165799
187        188                 1.165046
1215      1216                 1.163300
472        473                 1.162632
174        175                 1.162609
747        748                 1.162488
56          57                 1.161324
2            3                 1.159106
643        644                 1.158105
104        105                 1.156135
4            5                 1.155675
690        691                 1.155307
632        633                 1.154666
12          13                 1.153364
153        154                 1.150432
734        735                 1.149024
29          30                 1.148188
179        180                 1.147805
754        755                 1.145021
907        908                 1.144896
1248      1249                 1.143401
709        710                 1.143379
900        901                 1.142680
692        693                 1.142620
130        131                 1.141853
591        592                 1.141241
808        809                 1.140360
1183      1184                 1.139859
564        565                 1.139685
837        838                 1.138462
1209      1210                 1.138264
154        155                 1.137851
776        777                 1.137676
52          53                 1.137217
1276      1277                 1.132307
1221      1222                 1.131486
809        810                 1.131014
675        676                 1.130051
378        379                 1.129728
741        742                 1.128462
1257      1258                 1.127480
1249      1250                 1.124287
839        840                 1.124150
727        728                 1.124053
283        284                 1.123376
403        404                 1.122853
1188      1189                 1.122851
211        212                 1.121245
765        766                 1.117892
500        501                 1.117249
1177      1178                 1.116989
1165      1166                 1.115483
985        986                 1.115393
764        765                 1.115350
872        873                 1.114676
326        327                 1.114343
894        895                 1.113636
182        183                 1.113250
878        879                 1.112387
594        595                 1.110868
777        778                 1.110447
142        143                 1.107241
90          91                 1.105981
9           10                 1.105909
1011      1012                 1.105363
1035      1036                 1.104969
75          76                 1.104952
224        225                 1.104693
110        111                 1.104639
159        160                 1.103951
579        580                 1.103627
735        736                 1.103577
933        934                 1.102689
698        699                 1.101860
192        193                 1.101000
288        289                 1.099977
37          38                 1.099707
395        396                 1.099237
380        381                 1.098674
605        606                 1.097882
750        751                 1.097855
1093      1094                 1.097800
929        930                 1.097248
465        466                 1.096813
1205      1206                 1.096196
586        587                 1.095839
151        152                 1.094916
879        880                 1.092992
216        217                 1.092976
955        956                 1.092531
409        410                 1.092417
113        114                 1.092385
855        856                 1.091992
352        353                 1.091256
291        292                 1.089665
773        774                 1.089518
116        117                 1.089452
898        899                 1.087675
691        692                 1.086570
449        450                 1.085164
830        831                 1.084619
1057      1058                 1.084519
890        891                 1.080676
261        262                 1.079043
1098      1099                 1.079011
1116      1117                 1.078086
327        328                 1.076323
798        799                 1.075047
306        307                 1.075004
351        352                 1.073793
1013      1014                 1.070425
631        632                 1.069923
829        830                 1.069492
7            8                 1.068573
619        620                 1.066547
138        139                 1.066182
414        415                 1.064637
366        367                 1.063686
832        833                 1.063063
1016      1017                 1.060881
1071      1072                 1.060679
736        737                 1.059632
84          85                 1.059280
521        522                 1.058288
93          94                 1.057156
542        543                 1.055065
48          49                 1.054133
948        949                 1.052891
336        337                 1.052883
424        425                 1.052022
746        747                 1.051747
672        673                 1.051268
611        612                 1.049298
530        531                 1.048895
73          74                 1.048602
394        395                 1.048353
1173      1174                 1.047043
407        408                 1.045341
137        138                 1.041897
716        717                 1.041696
275        276                 1.040829
328        329                 1.040429
496        497                 1.040337
290        291                 1.040027
72          73                 1.040025
1135      1136                 1.039898
857        858                 1.039877
1044      1045                 1.038582
343        344                 1.036671
806        807                 1.036154
538        539                 1.035762
964        965                 1.034672
289        290                 1.033545
1119      1120                 1.032670
943        944                 1.032668
852        853                 1.030701
1090      1091                 1.030332
813        814                 1.029917
703        704                 1.028977
256        257                 1.028225
332        333                 1.027101
974        975                 1.026693
1115      1116                 1.026636
889        890                 1.025056
1121      1122                 1.025022
745        746                 1.024121
951        952                 1.022158
65          66                 1.021754
1103      1104                 1.018724
214        215                 1.017561
512        513                 1.017223
1166      1167                 1.017132
331        332                 1.016207
732        733                 1.015710
488        489                 1.014907
652        653                 1.014705
491        492                 1.012997
572        573                 1.011714
1213      1214                 1.010601
719        720                 1.009897
784        785                 1.009525
69          70                 1.009359
1021      1022                 1.008023
21          22                 1.007234
1099      1100                 1.005036
1155      1156                 1.004773
673        674                 1.002218
1046      1047                 1.001806
782        783                 1.000853
410        411                 1.000672
615        616                 1.000215
834        835                 1.000143
281        282                 0.998542
739        740                 0.996621
642        643                 0.996038
1131      1132                 0.994699
1230      1231                 0.993185
70          71                 0.991250
1132      1133                 0.990759
1200      1201                 0.990272
128        129                 0.988056
329        330                 0.987244
580        581                 0.987241
629        630                 0.985778
635        636                 0.985504
311        312                 0.985467
1226      1227                 0.985013
32          33                 0.983625
63          64                 0.982737
450        451                 0.982021
531        532                 0.981833
19          20                 0.981208
588        589                 0.980991
373        374                 0.980246
244        245                 0.979284
428        429                 0.977219
785        786                 0.977109
50          51                 0.976066
140        141                 0.975106
1079      1080                 0.975094
684        685                 0.974984
209        210                 0.974439
1112      1113                 0.973577
721        722                 0.973115
555        556                 0.972532
766        767                 0.972177
391        392                 0.971169
651        652                 0.970819
1134      1135                 0.967274
873        874                 0.966737
557        558                 0.966079
1191      1192                 0.965939
923        924                 0.965829
966        967                 0.965371
18          19                 0.965337
789        790                 0.965001
1241      1242                 0.963344
127        128                 0.963225
655        656                 0.962610
98          99                 0.962077
622        623                 0.960968
991        992                 0.958487
299        300                 0.957908
161        162                 0.957730
349        350                 0.955767
160        161                 0.955721
85          86                 0.955122
202        203                 0.954218
508        509                 0.952987
685        686                 0.952676
807        808                 0.950446
972        973                 0.950415
582        583                 0.949801
768        769                 0.949308
1140      1141                 0.949296
163        164                 0.949064
412        413                 0.946766
91          92                 0.946752
208        209                 0.944419
300        301                 0.944321
1169      1170                 0.942808
310        311                 0.940277
1029      1030                 0.937630
997        998                 0.935924
241        242                 0.934136
1059      1060                 0.933053
860        861                 0.932447
411        412                 0.932276
876        877                 0.931865
191        192                 0.931596
988        989                 0.930488
45          46                 0.929593
931        932                 0.927656
881        882                 0.926157
390        391                 0.925504
1243      1244                 0.925206
321        322                 0.924446
1032      1033                 0.923482
374        375                 0.923337
426        427                 0.923146
1272      1273                 0.922552
688        689                 0.921304
819        820                 0.920281
545        546                 0.918635
78          79                 0.917963
986        987                 0.916789
849        850                 0.916173
152        153                 0.915907
663        664                 0.915843
962        963                 0.915698
926        927                 0.914921
1107      1108                 0.913238
1253      1254                 0.911330
751        752                 0.911231
1120      1121                 0.911196
97          98                 0.910112
1143      1144                 0.909007
515        516                 0.907880
1094      1095                 0.907819
1118      1119                 0.907478
771        772                 0.906636
960        961                 0.905616
1246      1247                 0.905139
697        698                 0.904663
170        171                 0.903434
932        933                 0.903121
737        738                 0.901252
660        661                 0.900479
392        393                 0.900410
1154      1155                 0.900280
1175      1176                 0.899481
841        842                 0.898447
1084      1085                 0.898183
103        104                 0.896748
243        244                 0.895716
1157      1158                 0.894549
492        493                 0.893883
1222      1223                 0.893319
190        191                 0.893104
712        713                 0.892352
1182      1183                 0.892040
940        941                 0.889542
528        529                 0.888823
1247      1248                 0.888723
828        829                 0.887403
497        498                 0.886651
1217      1218                 0.886140
324        325                 0.884983
884        885                 0.884316
134        135                 0.883059
1211      1212                 0.883042
606        607                 0.881672
475        476                 0.881397
648        649                 0.880607
683        684                 0.880197
783        784                 0.877889
350        351                 0.877578
961        962                 0.877197
400        401                 0.876190
250        251                 0.875822
55          56                 0.875800
1054      1055                 0.873962
304        305                 0.871979
941        942                 0.871766
1091      1092                 0.870165
345        346                 0.870045
992        993                 0.869521
89          90                 0.869368
1270      1271                 0.869286
608        609                 0.868745
341        342                 0.866765
847        848                 0.865741
